통계분류,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년
교육,고궁,,51.5,41.3,41,60.8,54.9,49.1
교육,인사동,,49.6,40.2,48.9,58.2,50.4,49.3
교육,박물관(기념관),,45.8,38.2,40.9,43.1,41.1,43.7
교육,남산/N서울타워,,52.2,52.8,54.4,58.8,56.3,61.5
교육,이태원,,40.5,36.2,49.3,,,
교육,롯데월드,,42.9,56.8,45.6,36.8,32.2,41.9
교육,청계천,,23.5,,,,,
교육,청와대,,,,,,,
교육,코엑스,,,,,,,
교육,압구정동,,,,,,,
교육,신촌/홍대주변,,,50.2,54.4,56.2,60.1,68.9
교육,강남역,,,,,45.1,49.9,53.7
교육,기 타,,,,,,,
기타,사례수,,52,16,4,6,5,10
기타,명동,,60.9,60.8,66.9,16.7,75.9,16.7
기타,동대문시장,,53.6,54.1,53.4,55.4,40.1,6.4
기타,남대문시장,,45.5,41.4,63.3,38.6,0,9.1
기타,고궁,,59.5,52.8,66.9,34.6,13.6,36.7
기타,인사동,,44.5,34.3,31.7,38.5,13.6,12.4
기타,박물관(기념관),,40,60.3,31.6,16.9,13.6,2
기타,남산/N서울타워,,24,45.3,31.7,21,13.6,20.5
기타,이태원,,16.6,20.9,40.2,,,
기타,롯데월드,,32.5,15.7,31.7,7.4,13.6,44.5
기타,청계천,,9.1,,,,,
기타,청와대,,,,,,,
기타,코엑스,,,,,,,
기타,압구정동,,,,,,,
기타,신촌/홍대주변,,,5.1,47.4,0,0,14.9
기타,강남역,,,,,0,26.5,18.4
기타,기 타,,,,,,,
1회,사례수,,6218,6156,5987,6291,5392,5694
1회,명동,,69.6,75.9,74.7,81,79.3,83.8
1회,동대문시장,,60.3,64.1,60.8,66.7,63.7,64.7
1회,남대문시장,,44.7,40.4,32.2,28.1,30.5,29.6
1회,고궁,,45.8,47.9,49.6,52.5,58.8,48.9
1회,인사동,,34.8,33.2,30.7,32,28.8,30.7
1회,박물관(기념관),,31.9,34.4,31.7,27.1,36,31.2
1회,남산/N서울타워,,40.8,42.2,38.8,50.9,52.4,52.1
1회,이태원,,20.2,22.6,23.6,,,
1회,롯데월드,,27.4,33.2,36.3,28.8,27.7,26.7
1회,청계천,,25.5,,,,,
1회,청와대,,,,,,,
1회,코엑스,,,,,,,
1회,압구정동,,,,,,,
1회,신촌/홍대주변,,,20.9,25.4,31.2,28.5,34.2
1회,강남역,,,,,21.5,20.5,25.3
1회,기 타,,,,,,,
2회,사례수,,1438,1367,1295,1314,1688,1194
2회,명동,,72,75.3,74.4,80.7,79.3,81.5
2회,동대문시장,,57.1,58.1,55.3,62,60.9,63.2
2회,남대문시장,,43.4,36.6,35.7,27.9,26.7,32.4
2회,고궁,,31.7,30.5,29.4,36.2,40.2,30.8
2회,인사동,,31.2,31.5,31.3,32.6,26.9,28
2회,박물관(기념관),,21.5,19.6,20.7,17.5,22.7,19.8
2회,남산/N서울타워,,34,31.1,27,41.2,37,39.3
2회,이태원,,20.9,19.3,20.3,,,
2회,롯데월드,,25.6,26.3,27.1,20.1,21.6,23.3
2회,청계천,,19.8,,,,,
2회,청와대,,,,,,,
2회,코엑스,,,,,,,
2회,압구정동,,,,,,,
2회,신촌/홍대주변,,,18.9,26.3,36.1,34.5,34.5
2회,강남역,,,,,25.2,24.7,29.2
2회,기 타,,,,,,,
3회,사례수,,662,777,782,631,821,627
3회,명동,,66,71.2,71.9,74.8,78.8,79.8
3회,동대문시장,,54,50.3,53.4,54.2,59.2,61.5
3회,남대문시장,,38.4,35.4,36,30.6,28.8,30.3
3회,고궁,,32.5,26.3,26.3,29,29.1,26
3회,인사동,,31.6,31.8,29.7,30.9,21.7,25.4
3회,박물관(기념관),,20.9,16,14.3,13.3,18.5,16
3회,남산/N서울타워,,27.8,25.8,20.3,24.5,30.8,34.3
3회,이태원,,19.7,20.9,19.1,,,
3회,롯데월드,,25.5,20.8,20.4,12.6,19.7,19.1
3회,청계천,,19,,,,,
3회,청와대,,,,,,,
3회,코엑스,,,,,,,
3회,압구정동,,,,,,,
3회,신촌/홍대주변,,,20.9,23.2,28.8,32.4,40
3회,강남역,,,,,25.7,24.2,33.4
3회,기 타,,,,,,,
4회 이상,사례수,,1271,1622,1665,1435,2240,1847
4회 이상,명동,,68,70.3,65.3,61.2,69.4,72.8
4회 이상,동대문시장,,46.3,46.9,43.9,44.6,51.9,54.9
4회 이상,남대문시장,,31.3,34.3,31.2,25,27.3,24.5
4회 이상,고궁,,23.8,19.3,14.8,17.2,17.9,15.8
4회 이상,인사동,,24.9,25.8,23.1,20.8,19,20.7
4회 이상,박물관(기념관),,15,11.4,10.2,7.3,10.4,8.6
4회 이상,남산/N서울타워,,23,15.4,14.2,14.7,19.1,20.6
4회 이상,이태원,,19.7,18.8,16.9,,,
4회 이상,롯데월드,,18.4,14.6,14.5,8.6,15.7,17
4회 이상,청계천,,11.6,,,,,
4회 이상,청와대,,,,,,,
4회 이상,코엑스,,,,,,,
4회 이상,압구정동,,,,,,,
4회 이상,신촌/홍대주변,,,17.3,18.5,18.6,25.4,27
4회 이상,강남역,,,,,25.5,27.7,29.4
4회 이상,기 타,,,,,,,
