"통계분류","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년",
"친구, 친지 방문","남산/N서울타워","","20.4","20.8","19.9","20.2","","31.4","43.2","36.7","35.4","42","39.2","35.6","30","33.6","33.6","40.2",
"친구, 친지 방문","코엑스","","","","","","21.5","","","25","","","","","","","","",
"친구, 친지 방문","청계천","","","","","","","15.8","21.4","","18.1","18.7","","","","","","",
"친구, 친지 방문","청와대","","","","","","11.5","","","","","","","","","","","",
"친구, 친지 방문","압구정동","","10.4","7.8","7","10.5","","","","","","","","","","","","",
"친구, 친지 방문","청계천,광화문광장","","","","","","","","","","","","26","","","","","",
"친구, 친지 방문","기타","","13.1","21.2","18.6","13","","","","","","","","","","","","",
"사업, 전문활동","사례수","","1380","1617","1874","3312","3255","3124","2946","3265","2823","2519","2390","2050","1966","1734","1762","1325",
"사업, 전문활동","남대문시장","","41.6","33.3","32.7","32.7","33.1","38","37.8","36","38.4","36.7","29.3","26.5","22.6","17.8","21.8","16.7",
"사업, 전문활동","동대문시장","","35.7","29.7","31.4","30.1","29.6","35.8","35.2","38","38.5","37","32.5","32.6","28.7","30.1","33.9","32.8",
"사업, 전문활동","명동","","23.6","21.9","22.7","28","31.1","32.5","34.9","32","36.9","41.8","43.8","43","38","37.1","41.4","44.9",
"사업, 전문활동","고궁","","28.7","26.8","26.5","28.6","29.4","40.4","40.5","37","33.1","40.9","33.7","33.5","29.3","29.5","29.8","26.6",
"사업, 전문활동","신촌/홍대주변","","","","","","","","","","","","","9","8.4","9.9","10.9","8.7",
"사업, 전문활동","박물관(기념관)","","23.2","19.7","21","19.8","19","28.4","26.1","23.3","20.9","28.4","24.7","23","17.8","15.2","17.1","16.8",
"사업, 전문활동","이태원","","31.7","28.8","27.2","27.9","22.1","27.5","26.8","26.1","21.1","27.2","25.6","25","21.1","","","",
"사업, 전문활동","롯데월드","","22.8","17.7","18.4","18.9","15.4","18.2","16.6","16.3","15.5","17.5","15.5","16.4","16.1","7.5","10.3","8",
"사업, 전문활동","인사동","","11.5","12.3","13.5","16.6","19.9","19.5","24.3","23.8","19.4","25","24.6","23.9","20.1","16.6","16.7","13.9",
"사업, 전문활동","강남역","","","","","","","","","","","","","","","45.1","29.5","30.7",
"사업, 전문활동","남산/N서울타워","","13.3","10.3","12.5","14.3","","23.2","24.2","23.5","26.2","31.3","26.7","22.4","19.2","22.9","20.1","18.6",
"사업, 전문활동","코엑스","","","","","","20.7","","","25.3","","","","","","","","",
"사업, 전문활동","청계천","","","","","","","8","10.5","","7.4","9.4","","","","","","",
"사업, 전문활동","청와대","","","","","","11.3","","","","","","","","","","","",
"사업, 전문활동","압구정동","","4.7","4.2","4.8","6.7","","","","","","","","","","","","",
"사업, 전문활동","청계천,광화문광장","","","","","","","","","","","","11.9","","","","","",
"사업, 전문활동","기타","","22.4","35","34","21.7","","","","","","","","","","","","",
"건강, 치료","사례수","","19","8","12","10","19","2","13","17","13","12","31","","","","","",
"건강, 치료","남대문시장","","82.4","77.2","36.4","44.4","20.5","0","53.2","46.8","48.1","53.1","33.5","","","","","",
"건강, 치료","동대문시장","","33.8","50.8","55.3","44.4","34.6","66","68.2","30.7","54.6","46.2","75.2","","","","","",
"건강, 치료","명동","","63.6","34","42.2","60","47.2","0","16.1","45.8","41.9","55.5","53.1","","","","","",
"건강, 치료","고궁","","49.5","7.6","30.5","12.6","24.4","22.7","28","33.5","30.5","64.1","33.4","","","","","",
"건강, 치료","신촌/홍대주변","","","","","","","","","","","","","","","","","",
"건강, 치료","박물관(기념관)","","33.6","3.3","19.9","0","12.6","11.4","36.4","13.5","54.8","25.8","20","","","","","",
"건강, 치료","이태원","","33.8","14.7","21.8","28.5","23.5","0","41.1","19.9","23.5","30.3","16.2","","","","","",
"건강, 치료","롯데월드","","32.7","3.2","10.6","0","12.3","22.7","43.1","10.7","44.3","55","33.1","","","","","",
"건강, 치료","인사동","","31.8","12.6","5.1","12.6","17.9","66","5.3","26.2","34.9","41.7","27.3","","","","","",
"건강, 치료","강남역","","","","","","","","","","","","","","","","","",
"건강, 치료","남산/N서울타워","","0","9.2","16.1","0","","88.6","4","37.5","33","65.8","26","","","","","",
"건강, 치료","코엑스","","","","","","19.2","","","1.5","","","","","","","","",
"건강, 치료","청계천","","","","","","","0","19.4","","19.6","6.3","","","","","","",
"건강, 치료","청와대","","","","","","4.6","","","","","","","","","","","",
"건강, 치료","압구정동","","15.9","0","13.8","2.6","","","","","","","","","","","","",
